fish-market [01/'fi∫,ma:kit/]	[01* dtừ]\n- chợ cá
fish-meal [01/'fi∫mi:l/]	[01* dtừ]\n- bột cá
fishmonger [01/'fi∫,mʌηgə/]	[01* dtừ]\n- người bán cá, người buôn cá
fish-net [01/'fi∫net/]	[01* dtừ]\n- lưới đánh cá
fish-oil [01/'fi∫ɔil/]	[01* dtừ]\n- dầu cá
fish-plate [01/'fi∫pleit/]	[01* dtừ]\n- (ngành đường sắt) thanh nối ray
fish-pole [01/'fi∫poul/]	như [03fishing-rod]
fishpond [01/'fi∫pɔnd/]	[01* dtừ]\n- ao thả cá; ao cá
fish-pond [01/'fiʃpɔnd/]	[01* dtừ]\n- ao thả cá\n-(đùa) biển
fish-pot [01/'fi∫pɔt/]	[01* dtừ]\n- cái đó, cái lờ
fish-rearing [01/'fi∫,riəriη/]	như [03fish-culture]
fish-slice [01/'fi∫slais/]	[01* dtừ]\n- dao lạng cá (ở bàn ăn)\n- cái xẻng trở cá (nhà bếp) 
fish-sound [01/'fi∫saund/]	[01* dtừ]\n- bong bóng cá
fish-spear [01/'fi∫spiə/]	[01* dtừ]\n- cây lao móc
fish-story [01/'fi∫,stɔ:ri/]	[01* dtừ]\n- chuyện cường điệu; chuyện phóng đại\n- (Mỹ) lời nói khoác
fish-tail [01/'fi∫teil/]	[01* dtừ]\n- đuôi cá\n- (định ngữ) xoè ra như đuôi cá
fish-torpedo [01/'fi∫tɔ:,pi:dou/]	[01* dtừ]\n- ngư lôi tự động hình cá
fish-trap [01/'fi∫træp/]	[01* dtừ]\n- lưới bắt cá
fish-warden [01/'fi∫wɔ:dn/]	[01* dtừ]\n- quan trông coi ngư nghiệp
fish-way [01/'fi∫wei/]	[01* dtừ]\n- luồng cá; đường đi của cá
fishwife [01/'fi∫waif/]	[01* dtừ]\n- bà hàng cá\n- mụ chua ngoa đanh đá
fish-works [01/'fi∫wə:ks/]	[01* dtừ s/n]\n- thiết bị nuôi cá\n- xưởng làm dầu cá
fishworm [01/'fi∫wɔ:m/]	như [03fish-worm]
fish-worm [01/'fi∫wə:m/]	[01* dtừ]\n- giun làm mồi câu
fishy [01/'fi∫i/]	[01* ttừ]\n- (thuộc) cá; có mùi cá\n[02= a fishy smell] mùi cá\n- như cá\n[02= fishy eye] mắt lờ đờ (như mắt cá)\n- nhiều cá, lắm cá\n[02= a fishy repast] bữa tiệc toàn cá\n- (lóng) đáng nghi, ám muội\n[02= there's something fishy about it] có điều ám muội trong việc gì
fision	- (vật lí) sự chia, sự tách, sự phân hạch; (cơ học) sự nứt\n- nuclear f. sự phân hạch nguyên tử\n- spontaneous f. sự phân hạch tự phát
fisk [01/fisk/]	[01* dtừ]\n- xem [03fisc]
fissidactyl [01/,fisi'dæktil/]	[01* ttừ]\n- có ngón tẽ ra
fissile [01/'fisail/]	[01* ttừ]\n- có thể tách ra được
fissilingual [01/,fisi'liηgwəl/]	[01* ttừ]\n- có lưỡi xẻ
fissility [01/fi'siliti/]	[01* dtừ]\n- tình trạng có thể tách ra được
fission [01/'fi∫n/]	[01* dtừ]\n- (sinh vật) sự sinh sản phân đôi\n- (lý) sự phân hạt nhân
fissionable [01/'fi∫nəbl/]	[01* dtừ]\n- (lý) có thể phân hạt nhân
fissiparism [01/fi'sipərizm/]	[01* dtừ]\n- xem [03fissiparity] 
