relativist [01/'relətivist/]	[01* dtừ]\n- người theo thuyết tương đối
relativistic [01/,reləti'vistik/]	[01* ttừ]\n- <lý> học dựa trên thuyết tương đối
relativity [01/,relə'tivəti/]	[01* dtừ]\n- tính tương đối\n[02= the theory of relativity] thuyết tương đối
relator [01/ri'leitə/]	[01* dtừ]\n- người kể lại, người trình bày lại\n- (pháp luật) người cáo giác
relatrix	[01* dtừ]\n- xem [03relator] (chỉ phụ nữ) 
relax [01/ri'læks/]	[01* ngđtừ]\n- nới lỏng, lơi ra\n[02= to relax one's hold] buông lỏng ra, nới lỏng ra\n[02= relax discipline] nới lỏng kỷ luật\n- làm dịu đi, làm chùng, làm bớt căng thẳng\n[02= to relax tension] làm tình hình bớt căng thẳng\n- làm giãn ra, làm cho dễ chịu, giải (trí)\n[02= to relax one's mind] giải trí\n[02= to relax one's muscles] làm giảm bắp cơ\n- giảm nhẹ (hình phạt)\n- làm yếu đi, làm suy nhược\n- (y) làm nhuận (tràng)\n[02= to relax the bowels] làm nhuận tràng\n[01* nđtừ]\n- lỏng ra, chùng ra, giân ra (gân cốt bắp cơ)\n- giảm bớt, nguôi đi, bớt căng thẳng, dịu đi\n[02= anger relaxes] cơn giận nguôi đi\n[02= his features relaxed] nét mặt anh dịu đi\n[02= world tension relaxes] tình hình thế giới bớt căng thẳng\n- giải trí, nghỉ ngơi\n[02= to relax for an hour] giải trí trong một tiếng đồng h
relaxant [01/ri'læksənt/]	[01* dtừ]\n- (y) thuốc làm bắp thịt bớt căng\n- thuốc xổ
relaxation [01/,ri:læk'sei∫n/]	[01* dtừ]\n- sự nới lỏng, sự lơi ra, sự giân ra (kỷ luật, gân cốt...)\n- sự dịu đi, sự bớt căng thẳng\n[02= relaxation of world tension] sự bớt căng thẳng của tình hình thế giới\n- (pháp lý) sự giảm nhẹ (hình phạt...)\n[02= to beg for a relaxation of punishment] xin giảm nhẹ hình phạt\n- sự nghỉ ngơi, sự giải trí\n[02= relaxation is necessary after hard work] sau khi lao động vất vả cần được nghỉ ngơi\n- (lý) sự hồi phục\n[02= thermal relaxation] sự hồi phục nhiệt
relaxation-time [01/,ri:læk'sei∫n 'taim/]	[01* dtừ]\n- thời gian giãn
relaxative [01/ri'læksətiv/]	[01* ttừ]\n- để làm giản bớt\n- để xổ\n[01* dtừ]\n- thuốc làm duỗi cơ bắp\n- thuốc xổ
relaxed [01/ri'lækst/]	[01* ttừ]\n- thanh thản, thoải mái, không cảm thấy lo nghĩ, không cảm thấy căng thẳng
relaxed throat [01/ri'lækst'θrout/]	[01* dtừ]\n- (y) bệnh viên thanh quản mạn
relaxing [01/ri'læksiη/]	[01* ttừ]\n- làm chùng, làm yếu đi, làm giảm đi, làm bớt căng thẳng\n[04! relaxing climate]\n- khí hậu làm bải hoải
relaxtion	- sự giảm dư; (vật lí) sự hồi phục; (cơ học) sự dảo, sự luỹ biến
re-lay [01/'ri:'lei/]	[01* ngđtừ]\n- đặt lại
relay [01/ri'lei/]	[01* dtừ]\n- kíp ngựa (tốp ngựa thay cho tốp trước đã mệt)\n- ca, kíp (thợ)\n[02= to work in (by) relays] làm việc theo ca kíp\n- số lượng đồ vật để thay thế\n- (thể thao) cuộc chạy đua tiếp sức\n- (điện học) Rơle\n[02= frequency relay] rơle tần số\n[02= electromagnetic type relay] rơle điện tử\n- (rađiô) chương trình tiếp âm\n- (định ngữ) tiếp âm\n[01* đtừ]\n- làm theo kíp; sắp đặt theo kíp\n- (rađiô) tiếp âm\n[02= relay a broadcast] tiếp âm một buổi truyền thanh\n- (điện học) đặt rơle
relay station [01/'ri:lei'stei∫n/]	[01* dtừ]\n- (rađiô) đài tiếp âm
relay-box [01/ri:'lei'bɔks/]	[01* dtừ]\n- (điện học) hộp rơle
relaying [01/ri:'leiiη/]	[01* dtừ]\n- sự chuyển tiếp, sự tiếp âm; sự bảo vệ bằng rơle; sự đặt rơle trong mạng điện
relay-race [01/ri:'lei'reis/]	[01* dtừ]\n- (thể thao) cuộc chạy tiếp sức
release [01/ri'li:s/]	[01* dtừ]\n- sự giải thoát, sự thoát khỏi (điều lo lắng, sầu muộn, bệnh tật...)\n- sự thả, sự phóng thích\n[02= a release of war prisoners] sự phóng thích tù binh\n- sự phát hành (cuốn sách, bản tin) ; sự đưa ra bàn (một loại ô tô mới...)\n- giấy biên lai, giấy biên nhận\n- (pháp lý) sự nhượng lại; giấy nhượng lại\n- (lý) sự tách ra, sự nhả ra, sự giải phóng\n[02= energy release] sự giải phóng năng lượng\n- (kỹ) cái ngắt điện\n- (kỹ) sự cắt, sự tháo ra\n- (qsự) sự ném, sự thả, sự cắt (bom) ; sự mở (dù)\n- sự giải ngũ, sự phục viên\n- (hoá) sự bay ra, sự thoát ra (hơi)\n[01* ngđtừ]\n- làm nhẹ, làm bớt, làm thoát khỏi (đau đớn, sầu muộn, bệnh tật...)\n- tha, thả, phóng thích\n[02= to release a prisoner] tha một người tù\n- miễn, tha (nợ...), giải thoát\n[02= to release a debt] miễn cho một món nợ\n[02= to release someone from his promise] giải ước cho ai\n- phát hành (cuốn phim, bản tin...) ; đăng (tin) ; đưa ra bán (một loại ô tô mới...)\n[02= to release a new film] phát hành một cuốn phim mới\n- (pháp lý) nhường, nhượng\n- (lý) cắt dòng\n- (kỹ) nhả khớp, tháo ra, tách ra, cắt mạch\n[02= to release the brake] nhả phanh\n- (qsự) ném, thả, cắt (bom) ; mở (dù)\n- (qsự) cho giải ngũ, cho phục viên\n- (hoá) làm bay ra, làm thoát ra (hơi) 
release gear [01/ri'li:s'giə/]	[01* dtừ]\n- cái cắt bom (ở máy bay) 
releasee [01/rili'si:/]	[01* dtừ]\n- (Pháp) người được nhường; người nhận
releaser [01/ri'li:sə/]	[01* dtừ]\n- (kỹ) cơ cấu khởi động, cơ cấu nhả
releasor [01/ri'li:sə/]	[01* dtừ]\n- (pháp) người nhường
