sacrarium [01/sæ'kreəriəm/]	[01* dtừ] s/n [02sacraria]\n- bộ phận thiêng liêng của nhà thờ\n- bể nước thánh\n- (cổ LA mã) nơi thiêng liêng trong điện thờ chứa đựng vật thiêng
sacred [01/'seikrid/]	[01* ttừ]\n- (thuộc) thánh; thần thánh, của thần\n[02= sacred book] sách thánh\n[02= sacred poetry] thánh thi\n[02= sacred horse] ngựa thần\n[02= sacred war] cuộc chiến tranh thần thánh\n- thiêng liêng, bất khả xâm phạm\n[02= a sacred duty] nhiệm vụ thiêng liêng\n[02= the sacred right to self-determination] quyền tự quyết bất khả xâm phạm
sacred cow [01/'seikrid'kau/]	[01* dtừ]\n- (Mỹ) người (tổ chức...) không chê vào đâu được, người (tổ chức...) không ai chỉ trích vào đâu được; vật không chê vào đâu được
sacredly [01/'seikridli/]	[01* phtừ]\n- (thuộc) thánh; thần thánh, của thần; thiêng liêng\n- long trọng; rất quan trọng (về bổn phận, nghĩa vụ)\n- linh thiêng; sùng kính; bất khả xâm phạm\n- dành cho ai/cái gì (câu ghi ở bia mộ, bia kỷ niệm người chết) 
sacredness [01/'seikridnis/]	[01* dtừ]\n- tính thần thánh\n- tính thiêng liêng, tính bất khả xâm phạm
sacrifice [01/'sækrifais/]	[01* dtừ]\n- sự giết (người, vật) để cúng thần\n- người bị giết để cúng thần; vật bị giết để cúng thần\n- sự hy sinh\n[02= to make sacrifices for the fatherland] hy sinh vì tổ quốc\n[02= the last (great) sacrifice] sự tử trận (hy sinh) vì nước\n- sự bán lỗ; hàng bán lỗ; sự lỗ\n[01* đtừ]\n- cúng, cúng tế\n- hy sinh\n[02= to sacrifice one's whole life to the happiness of the people] hy sinh tất cả cuộc đời mình cho hạnh phúc của nhân dân\n- bán lỗ
sacrificer [01/'sækrifaisə/]	[01* dtừ]\n- người dâng vật tế, người lo việc cúng tế thần
sacrificial [01/,sækri'fi∫l/]	[01* ttừ]\n- (thuộc) sự cúng thần; dùng để cúng tế
sacrificially [01/,sækri'fi∫əli/]	[01* phtừ]\n- (thuộc) sự cúng thần; dùng để cúng tế, hiến tế\n- hy sinh
sacrilege [01/'sækrilidʒ/]	[01* dtừ]\n- tội phạm thần, tội phạm thánh, tội báng bổ\n- tội xúc phạm vật thánh; tội ăn trộm đồ thờ
sacrilegious [01/,sækri'lidʒəs/]	[01* ttừ]\n- phạm thần, phạm thánh, báng bổ\n- xúc phạm vật thánh; ăn trộm đồ thờ
sacrilegiously [01/,sækri'lidʒəsli/]	[01* phtừ]\n- phạm thượng, báng bổ thần thánh\n- xúc phạm thánh thần; ăn trộm đồ thờ
sacrilegist [01/,sækri'lidʒist/]	[01* dtừ]\n- (hiếm) người phạm thần, người phạm thánh, người báng bổ
sacring [01/'seikriη/]	[01* dtừ]\n- (cổ) phép dâng lễ\n- lễ tôn phong (cho giám mục) ; lễ đăng quang (vua) 
sacrist [01/'sækrist/]	như [03sacristan]
sacristan [01/'sækristən/]	[01* dtừ]\n- người giữ đồ thờ thánh\n[01* dtừ]\n- (tôn giáo)(cổ) người giữ nhà thờ
sacristy [01/'sækristi/]	[01* dtừ]\n- (tôn giáo) nơi để đồ thờ thánh (trong nhà thờ) 
sacro-	- xem [03sacr-] 
sacrocaudal [01/seikrou'kɔ:dəl/]	[01* ttừ]\n- thuộc xương cùng-đuôi
sacrococcygeal [01/seikroukɔ'sidʒiəl/]	[01* ttừ]\n- thuộc xương cùng-cụt
sacrolumbar [01/seikrou'lʌmbə/]	[01* ttừ]\n- thuộc xương cùng-thắt lưng
sacrosanct [01/'sækrousæηkt/]	[01* ttừ]\n- không được xâm phạm vì lý do tôn giáo (người, nơi chốn...) 
sacrosciatic [01/seikrpusai'ætik/]	[01* ttừ]\n- thuộc xương cùng-ngồi
sacrospinal [01/seikrou'spinəl/]	[01* ttừ]\n- thuộc xương cùng-gai sống
sacrovertebral [01/seikrou'və:tibrəl/]	[01* ttừ]\n- (thuộc) xương cùng-cột sống
sacrum [01/'seikrəm/]	[01* dtừ] s/n [03sacra]\n- (phẫu) xương cùng
sad [01/sæd/]	[01* ttừ]\n- buồn rầu, buồn bã\n[02= to look sad] trông buồn\n-(đùa) quá tồi, không thể sửa chữa được\n- không xốp, chắc (bánh)\n- chết (màu sắc)\n[02= sad colours] màu chết
sadden [01/'sædn/]	[01* đtừ]\n- làm (ai) buồn rầu, làm (ai) buồn bã
saddhu [01/'sʌdu:/]	[01* dtừ]\n- tu sĩ ấn độ
