rebore [01/,ri:'bɔ:/]	[01* ngđtừ]\n- (kỹ) khoan lại
recess [01/ri'ses/]	[01* dtừ]\n- thời gian ngừng họp (quốc hội...)\n- (Mỹ) kỳ nghỉ (trường trung học, đại học)\n- (Mỹ) giờ giải lao, giờ ra chơi chính (trường học)\n- (hiếm) sự rút đi (thuỷ triều)\n- chỗ thầm kín, nơi sâu kín, nơi hẻo lánh\n[02= in the recesses of the mountains] ở nơi thâm sơn cùng cốc\n[02= in the inmost recesses of the heart] trong thâm tâm\n- chỗ thụt vào (của dãy núi)\n- hốc tường (để đặt tượng...)\n- (phẫu) ngách, hốc\n- (kỹ) lỗ thủng, rânh, hố đào; chỗ lõm\n[01* ngđtừ]\n- đục lõm vào, đào hốc (ở tường...)\n- để (cái gì) ở nơi sâu kín; để (cái gì) vào hốc tường...\n[01* nđtừ]\n- ngừng họp; hoãn lại (phiên họp...) 
recession [01/ri'se∫n/]	[01* dtừ]\n- sự lùi lại, sự thụt lại, sự lùi vào, sự thụt vào; chỗ thụt vào, chỗ lõm vào (ở tường)\n- sự rút đi\n- (kinh tế) tình trạng buôn bán ế ẩm; tình trạng sản xuất giảm sút; cuộc khủng hoảng kinh tế ngắn kỳ
recessional [01/ri'se∫ənl/]	[01* ttừ]\n- (thuộc) sự ngừng họp (của quốc hội)\n- recessional hymn (như) [03recessional] (dtừ)\n[01* dtừ]\n- (tôn giáo) bài tiễn (bài thánh ca tiễn các linh mục và ban đồng ca sau khi làm lễ xong) 
recessionary [01/ri'se∫ənəri/]	[01* ttừ]\n- giảm sút; sa sút; suy thoái\n[02= in the present recessionary conditions] trong điều kiện suy thoái hiện nay\n- dẫn đến sự suy thoái; gây ra tình trạng suy thoái\n[02= a recessionary effect on the national economy] một tác động làm suy thoái nền kinh tế quốc gia
recessive [01/ri'sesiv/]	[01* ttừ]\n- lùi lại, thụt lùi\n- (sinh vật) lặn (đặc tính trong di truyền)\n[01* dtừ]\n- (sinh vật) tính lặn (trong di truyền) 
recessus [01/ri'sesəs/]	[01* dtừ]\n- hố; hốc; ổ\n- khoang; ngách; khe
rechange [01/ri't∫endʒ/]	[01* ngđtừ]\n- biến đổi lần nữa, thay đổi lần nữa
recharge [01/ri:'t∫ɑ:dʒ/]	[01* ngđtừ]\n- nạp lại\n[02= to recharge a revolver] nạp đạn lại một khẩu súng lục\n[02= to recharge a battery] nạp điện lại một bình ắc quy
rechargeable [01/ri:t∫ɑ:dʒəbl/]	[01* ttừ]\n- có thể nạp lại
réchauffé [01/rə'∫oufei/]	[01* ttừ] đĩa ăn nguội hâm nóng lại
recherché [01/rə'∫eə∫ei/]	[01* ttừ]\n- cầu kỳ
rechristen [01/ri:krisn/]	[01* ngđtừ]\n- làm lễ rảy nước thánh lại; đặt tên lại
recidivism [01/ri'sidivizəm/]	[01* dtừ]\n- sự phạm lại (tội) 
recidivist [01/ri'sidivist/]	[01* dtừ]\n- người phạm lại (tội) 
recidivous [01/ri'sidivəs/]	[01* ttừ]\n- phạm tội lại; có xu hướng gây tội nặng
