bundle [01/'bʌndl/]	[01* dtừ]\n- bó\n[02= to be tied up in bundles] được buộc thành từng bó\n- bọc, gói\n[02= a bundle of clothes] một bọc quần áo\n[01* ngđtừ]\n- (+[04 up]) bó lại\n- (+[04 up]) bọc lại, gói lại\n- (+[04 into]) nhét vào, ấn vội, ấn bừa\n- (+[04 off, away]) gửi đi vội, đưa đi vội; đuổi đi, tống cổ đi\n[02= to bundle someone out of the house] tống cổ ai ra khỏi nhà\n[01* nđtừ]\n- đi vội\n[02= to bundle off] cuốn gói ra đi
bundled	- (kỹ) cả bộ (gía bán) 
bundled software	- (kỹ) nhu liệu kết bó
bundler	- xem [03bundle] 
bun-fight [01/'bʌn'fait/]	[01* dtừ]\n- (tục) tiệc ngọt, tiệc trà
bung [01/bʌη/]	[01* dtừ]\n- (lóng) sự đánh lừa, sự nói dối\n[01* dtừ]\n- nút thùng\n[01* ngđtừ]\n- đậy nút (thùng)\n- (lóng) ném (đá...)\n[04! to bung off]\n- (lóng) vội vã chạy trốn\n[01* ttừ]\n- (úc)(lóng) chết\n- vỡ nợ\n[02= to go bung] chết, vỡ nợ
bungalow [01/'bʌηgəlou/]	[01* dtừ]\n- nhà gỗ một tầng; boongalô
bunged [01/bʌηd/]	[01* ttừ]\n- bị nút chặt, bị tắc, bị bít chặt\n[02= bunged up nose] mũi tắc nghẹt\n[02= bunged up eyes] mắt sưng húp không mở được mắt, mắt bị dử dính chặt
bung-hole [01/'bʌη'houl/]	[01* dtừ]\n- lỗ đổ vào hoặc rót ra
bungle [01/'bʌηgl/]	[01* dtừ]\n- việc làm vụng, việc làm cẩu thả\n- việc làm hỏng\n- sự lộn xộn\n[01* đtừ]\n- làm vụng, làm dối, làm cẩu thả, làm ẩu\n- làm hỏng việc\n- làm lộn xộn
bungler [01/'bʌηglə/]	[01* dtừ]\n- thợ vụng; người làm ẩu\n- người làm hỏng việc\n- người làm lộn xộn
bunglingly	- xem [03bungle] 
bunion [01/'bʌnjən/]	[01* dtừ]\n- nốt viêm tấy ở kẽ ngón chân cái
bunk [01/bʌηk/]	[01* dtừ]\n- giường ngủ (trên tàu thuỷ, xe lửa)\n[01* nđtừ]\n- (Mỹ) đi ngủ\n[01* ngđtừ]\n- (Mỹ) xếp chỗ ngủ cho\n[01* dtừ]\n- (lóng) sự cuốn xéo, sự biến, sự chuồn thẳng\n[02= to do a bunk] cuốn xéo, biến, chuồn thẳng\n[01* nđtừ]\n- (lóng) cuốn xéo, biến, chuồn thẳng\n[01* dtừ]\n- (Mỹ),(lóng)(như) [03bunkum] 
bunk bed [01/'bʌηkbed/]	[01* dtừ]\n- một trong chiếc giường đôi, gắn chiếc này bên trên chiếc kia, đặc biệt dành cho trẻ em
bunker [01/'bʌηkə/]	[01* dtừ]\n- (hàng hải) kho than (trên tàu thuỷ)\n- (qsự) boongke\n- hố cát (làm vật chướng ngại trên bãi đánh gôn)\n[01* ngđtừ]\n- (hàng hải) đổ (than vào kho)\n- (bóng)((thường) động tính từ quá khứ) đẩy vào hoàn cảnh khó khăn
bunkum [01/'bʌηkəm/]	[01* dtừ]\n- lời nói ba hoa, lời nói huyên thuyên; lời nói dóc; chuyện rỗng tuếch, chuyện vớ vẩn\n[02= to talk bunkum] tán dóc, nói chuyện vớ vẩn; nói tầm bậy
bunky [01/'bʌηki/]	[01* dtừ]\n- (Mỹ),(tục) bạn cùng phòng
bunny [01/'bʌni/]	[01* dtừ]\n- khuấy 6
bunny-hug [01/'bʌni'hʌg/]	[01* dtừ]\n- điệu múa thỏ (của người da đỏ Mỹ) 
bunsen burner [01/'bʌnsn'bə:nə/]	[01* dtừ]\n- đèn bunsen
Bunsen photometer	- (kỹ) quang kế Bunsen
bunt [01/bʌnt/]	[01* dtừ]\n- (hàng hải) bụng, rốn (buồm, lưới)\n[01* dtừ]\n- sự húc\n- (thể thao) sự chặn bóng bằng bậy (bóng chày)\n[01* đtừ]\n- húc (bằng đầu, bằng sừng)\n- (thể thao) chăn bóng bằng gậy (bóng chày) 
bunter	- xem [03bunt] 
bunting [01/'bʌntiη/]	[01* dtừ]\n- vải may cờ\n- cờ\n[01* dtừ]\n- (động vật) chim sẻ đất
bunyip [01/'bʌnjip/]	[01* dtừ]\n- con vật huyền thoại ở đầm lầy Ôxtrâylia
buoy [01/bɔi/]	[01* dtừ]\n- (hàng hải) phao, phao cứu đắm ((cũng) [03life buoy] )\n- (bóng) chỗ nương tựa\n[01* ngđtừ]\n- đặt phao, thả phao\n[02= to buoy (out) a channel] thả phao ở eo biển\n- ((thường) +[02up]) giữ cho khỏi chìm, làm cho nổi, nâng lên\n- ((thường) +[02up]) giữ vững tinh thần, làm cho phấn chấn\n[02= to be buoyed up with new hope] phấn chấn lên với niềm hy vọng mới
buoyage [01/'bɔiidʒ/]	[01* dtừ]\n- (hàng hải) sự thả phao, sự đặt phao
buoyancy [01/'bɔiənsi/]	[01* dtừ]\n- sự nổ; sức nổi\n- khả năng chóng phục hồi sức khoẻ\n- tinh thần hăng hái, tính sôi nổi, ; tính vui vẻ\n[02= to lack buoyancy] thiếu sự sôi nổi, thiếu nghị lực\n- (thương nghiệp) xu thế lên giá
buoyant [01/'bɔiənt/]	[01* ttừ]\n- nổi, nổi trên mặt\n- (bóng) sôi nổi; vui vẻ\n- (thương nghiệp) có xu thế lên giá
buoyantly [01/'bɔiəntli/]	[01* phtừ]\n- sôi nổi, sinh động
bupa [01/'bu: pə/]	[01* (vt)]\n- tổ chức bảo hiểm y tế tư nhân ([03British United Provident Association]) 
bur [01/bə:/]	[01* dtừ]\n- quả có gai; cụm hoa có lông dính (hay bám vào lông thú vật)\n- cây có quả có gai, cây có cụm hoa có lông dính\n- người bám dai như đỉa
buran [01/'bu:ra:n/]	[01* dtừ]\n- trận bão lớn thường kèm theo tuyết và lạnh (ở thảo nguyên Nga) 
burberry [01/'bə:bəri/]	[01* dtừ]\n- vải bơbơri (một thứ vải không thấm nước)\n- áo đi mưa bơbơri
burble [01/'bə:bl/]	[01* đtừ]\n- nói lẩm bẩm
burbler	- xem [03burble] 
burbly	như [03burbler]
burbot [01/'bə:bət/]	[01* dtừ]\n- (động vật) cá tuyết sông
burden [01/'bə:dn/]	như [03burthen]
burdensome [01/'bə:dnsəm/]	[01* ttừ]\n- đè nặng, nặng nề; là gánh nặng cho\n- làm khó chịu, làm bực mình; làm mệt mỏi
burdensomely	như [03burdensomeness]
burdensomeness	- xem [03burdensome] 
burdock [01/'bə:dɔk/]	[01* dtừ]\n- (thực vật) cây ngưu bàng
burdon [01/'bə:dən/]	[01* dtừ]\n- (sinh học) thể ghép (từ hai tế bào sinh dưỡng) 
bureau [01/bjuə'rou/]	như [03bureaux]
bureaucracy [01/bjuə'rɔkrəsi/]	[01* dtừ]\n- quan lại, công chức (nói chung) ; bọn quan liêu\n- chế độ quan liêu; bộ máy quan liêu\n- thói quan liêu
bureaucrat [01/'bjurəkræt/]	[01* dtừ]\n- quan lại, công chức\n- người quan liêu
bureaucratic [01/,bjuərə'krætik/]	[01* ttừ]\n- (thuộc) quan lại, (thuộc) công chức\n- quan liêu
bureaucratically [01/,bjuərou'krætikəli/]	[01* phtừ]\n- quan liêu
bureaucratism [01/bjuə'rɔkrətizm/]	[01* dtừ]\n- thói quan liêu\n- chế độ quan liêu
bureaucratist [01/bjuə'rɔkrətist/]	[01* dtừ]\n- người quan liêu
bureaucratize [01/bjuə'rɔkrətaiz/]	[01* ngđtừ]\n- cũng [03bureaucratise]\n- quan liêu hoá
bureautics	- (kỹ) kỹ thuật văn phòng
bureaux [01/bjuə'rou/]	[01* (bất qui tắc) dtừ] s/n [02bureaux, bureaus]\n- cục, nha, vụ\n[02= the Bureau of Information] cục thông tin (Mỹ)\n[02= the Federal Bureau of Investigation] cục điều tra liên bang (Mỹ)\n[02= the Bureau of Personnel] vụ tổ chức\n- bàn làm việc, bàn giấy\n- tủ có ngăn kéo, tủ com mốt (có gương) 
burette [01/bjuə'ret/]	[01* dtừ]\n- (hoá) Buret
burg [01/bə:g/]	[01* dtừ]\n- (Mỹ),(tục) thị trấn, thị xã
burgage [01/'bə:gidʒ/]	[01* dtừ]\n- (sử học) chế độ thành phố Anh thuê đất nhà vua trong từng năm và nộp tô
burgee [01/'bə:dʒi:/]	[01* dtừ]\n- (hàng hải) cờ đuôi nheo (của thuyền đua...) 
burgeon [01/'bə:dʒən/]	như [03bourgeon]
burger [01/'bè:gə/]	[01* dtừ]\n- nh° [03hamburger]
burgess [01/'bə:dʒis/]	[01* dtừ]\n- dân thành thị\n- (sử học) đại biểu thị xã (ở nghị viện) 
burgh [01/'bʌrə/]	[01* dtừ]\n- (Ê-cốt) thị xã, thị trấn
burgher [01/'bə:gə/]	[01* dtừ]\n- người dân ở tỉnh, người dân thị trấn
burglar [01/'bə:glə/]	[01* dtừ]\n- kẻ trộm đêm; kẻ trộm bẻ khoá, kẻ trộm đào ngạch
burglar-alarm [01/'bə:glə,ə'lɑ:m/]	[01* dtừ]\n- chuông báo động có trộm đột nhập
burglarious [01/bə'gleəriəs/]	[01* ttừ]\n- ăn trộm bẻ khoá, ăn trộm đào ngạch
burglariously	- xem [03burglarious] 
burglarize [01/'bə:gləraiz/]	như [03burgle]
burglar-proof [01/'bə:gləpru:f/]	[01* ttừ]\n- (nói về nhà cửa) thiết kế sao cho trộm không thể vào được
burglary [01/'bə:gləri/]	[01* dtừ]\n- ăn trộm đêm; ăn trộm bẻ khoá, ăn trộm đào ngạch
burgle [01/bə:gl/]	[01* đtừ]\n- ăn trộm bẻ khoá, ăn trộm đào ngạch
