return [01/ri'tə:n/]	[01* dtừ]\n- sự trở lại, sự trở về, sự quay trở lại\n[02= to reply by return of post] trả lời qua chuyến thư về\n- vé khứ hồi ((cũng) [03return ticket] )\n- sự gửi trả lại, sự trả lại (một vật gì) ; vật được trả lại\n- ((thường) số nhiều)(thương nghiệp) hàng hoá gửi trả lại; sách báo ế; hàng ế\n- sự thưởng, sự đền đáp, sự trao đổi\n[02= in return for someone's kindness] để đền đáp lại lòng tốt của ai\n- sự dội lại (của tiếng)\n- (thể thao) quả bóng đánh trả lại (quần vợt)\n- (thể thao) trận lượt về, trận đấu gỡ ((cũng) [03return match] )\n- (thể thao) miếng đấm trả (đấu gươm)\n- sự để lại chỗ cũ\n- (kiến trúc) phần thụt vào (tường, mặt nhà)\n- (điện học) dây về, đường về\n- ((thường) số nhiều) tiền thu vào; tiền lời, tiền lãi\n- bản lược kê, bản thống kê (do cấp trên đòi)\n[02= return of the killed and wounded] bản thống kê những người chết và bị thương\n[02= official returns] bản thống kê chính thức\n- việc bầu (một đại biểu quốc hội) ; việc công bố kết quả bầu cử\n- (số nhiều) thuốc lá để hút tẩu loại nhẹ\n[04! many happy returns of the day]\n- chúc mạnh khoẻ sống lâu (lời chúc mừng ngày sinh)\n[04! small profits and quick returns]\n- (thương nghiệp) năng nhặt chặt bị\n[01* nđtừ]\n- trở lại, trở về\n[02= to return home] trở về nhà\n[02= let us return to the subject] ta hây trở lại vấn đề\n[02= to return to one's old habits] lại trở lại những thói quen cũ\n[01* ngđtừ]\n- trả lại, hoàn lại\n[02= to return a sum of money] trả lại một số tiền\n[02= to return a borrowed book] trả lại một quyển sách đã mượn\n- gửi trả\n[02= his manuscript was returned to him] người ta đã gửi trả bản thảo cho ông ấy\n- dội lại (âm thanh) ; chiếu lại (ánh sáng) ; đánh trả (quả bóng)\n- đáp lại (một sự thăm hỏi)\n[02= to return a visit] đi thăm đáp lễ\n[02= to return a bow (someone's greeting)] chào đáp lại một người nào\n- trả lời, đối lại, đáp lại ((thường) dùng trong câu xen giữa câu khác)\n[02= but - returned the old man - I am too weak to lift it] ông cụ đáp lại nhưng tôi yếu quá không nhấc nổi cái đó\n- để lại chỗ cũ\n[02= to return a book to the shelf] để một cuốn sách vào chỗ cũ ở trên giá\n[02= return swords!] (qsự) hãy tra kiếm vào vỏ\n- ngỏ lời, tuyên (án)\n[02= to return thanks to someone] ngỏ lời cảm ơn người nào\n[02= to return a verdice] tuyên án\n- khai báo (hàng tồn kho)\n[02= the total stocks are returned at 2,000 tons] bản thống kê cho biết tổng số hàng tồn kho là 2 000 tấn\n[02= to the result of an election] làm báo cáo chính thức về kết quả của một cuộc bầu cử\n[02= returning officer] người kiểm phiếu (có nhiệm vụ công bố tên người trúng cử)\n- bầu (đại biểu) vào quốc hội\n- (đánh bài) đánh theo (quân cùng hoa với người cùng phe)\n[02= to return clubs] đánh theo quân bài nhép
return fare [01/,ri'tə:n'feə/]	[01* dtừ]\n- vé khứ hồi
return game [01/,ri'tə:n'geim/]	như [03return match]
return half	[01* dtừ]\n- một nửa vé dành cho chuyến về
return match [01/,ri'tə:n'mæt∫/]	[01* dtừ]\n- trận lượt về
return ticket [01/,ri'tə:n'tikit/]	như [03return fare]
returnable [01/ri'tə:nəbl/]	[01* ttừ]\n- có thể trả lại, có thể hoàn lại\n- có tư cách ứng cử
returnee [01/,ritə:r'ni:/]	[01* dtừ]\n- bộ đội phục viên
returner [01/ri'tə:nə/]	[01* dtừ]\n- người trở về (từ nước ngoài...)\n- người trả (vật đã mượn) 
returning [01/ri:'tju:niη/]	[01* dtừ]\n- sự điều hướng lại
returning officer [01/,ri'tə:niη'ɔfisə/]	[01* dtừ]\n- quan chức phụ trách bầu cử trong một khu vực bầu cử và công bố kết quả
retuse [01/ri'tju:s/]	[01* ttừ]\n- (thực vật) rộng đầu (lá) 
retyre [01/ri:'taiə/]	[01* ngđtừ]\n- thay lốp
reunification [01/,ri:ju:nifi'kei∫n/]	[01* dtừ]\n- sự thống nhất lại, sự hợp nhất lại
reunify [01/,ri:'ju:nifai/]	[01* ngđtừ]\n- thống nhất lại, hợp nhất lại
reunion [01/,ri:'ju:niən/]	[01* dtừ]\n- sự sum họp, sự họp lại, sự hợp nhất lại; tình trạng được sum hợp, tình trạng được hợp nhất\n- cuộc hội họp, cuộc họp mặt thân mật\n[02= a fanmily reunion] cuộc họp mặt thân mật gia đình\n- sự hoà hợp, sự hoà giải\n- (y) dự khép mép (của một vết thương) 
reunionist [01/'ri:ju:njənist/]	[01* dtừ]\n- người chủ trương hợp nhất Anh giáo với công giáo La mã\n- người chủ trương hợp nhất (giáo phái, chính đảng) 
reunionistic [01/ri'ju:niə'nistik/]	[01* ttừ]\n- chủ trương hợp nhất Anh giáo với công giáo La mã\n- chủ trương hợp nhất (giáo phái, chính đảng) 
reunite [01/,ri:ju:'nait/]	[01* ngđtừ]\n- hợp nhất lại\n- nhóm lại, họp lại; ghép lại (những mảnh vỡ) lại\n- hoà giải\n[01* nđtừ]\n- hợp nhất lại\n- nhóm lại, họp lại, hội họp\n- hoà hợp trở lại\n- (y) khép lại, khép mép (vết thương) 
reusable [01/,ri:'ju:zəbl/]	[01* ttừ]\n- có thể dùng lại được
reuse [01/,ri:'ju:z/]	[01* ngđtừ]\n- dùng lại\n[01* dtừ]\n- sự dùng lại; sự được dùng lại
rev [01/rev/]	[01* dtừ]\n- (vt) của [03revolution], vòng quay\n[02= two thousand revs minute] hai nghìn vòng quay một phút\n[01* đtừ]\n- quay, xoay\n[02= to rev up an engine began to rev] máy bắt đầu quay nhanh, máy bắt đầu rú
rev. [01/'revərənd/]	[01* ttừ]\n- (vt) của [03Reverend] 
revaccinate [01/,ri:'væksineit/]	[01* ngđtừ]\n- (y) chủng lại
revaccination [01/,ri:væksi'nei∫n/]	[01* dtừ]\n- (y) sự chủng lại
revalidate [01/ri:'vælideit/]	[01* ngđtừ]\n- làm cho lại có giá trị, làm cho lại có hiệu lực
revalorization [01/,ri:vælərai'zei∫n/]	[01* dtừ]\n- sự khôi phục giá trị tiền tệ (của một nước) 
revalorize [01/,ri:'væləraiz/]	[01* ngđtừ]\n- khôi phục giá trị (của tiền tệ) 
revaluate [01/ri'væljueit/]	[01* ngđtừ]\n- đánh giá lại\n- làng tăng giá trị (đồng tiền) 
revaluation [01/,ri:vælju:'ei∫n/]	[01* dtừ]\n- sự đánh giá lại, sự ước lượng lại
revalue [01/,ri:'vɑ:lju:/]	[01* ngđtừ]\n- đánh giá lại, ước lượng lại
revamp [01/,ri:'væmp/]	[01* ngđtừ]\n- thay lại mũi (giày)\n- sửa chữa, chắp vá lại\n[02= to revamp a comedy] sửa chữa lại một vở kịch
revanch [01/ri'va:nt∫/]	[01* dtừ]\n- sự trả thù, sự phục thù
revanchism [01/ri'va:nt∫izm/]	[01* dtừ]\n- chính sách trả thù, chính sách phục thù
