soft-spoken [01/'sɔft'spoukən/]	[01* ttừ]\n- nói nhẹ nhàng, nói dịu dàng
soft-spot [01/'sɔft,spɔt/]	[01* dtừ]\n- sự yếu ớt về tình cảm; chỗ yếu về tình cảm
soft-touch [01/'sɔft'tʌt∫/]	[01* dtừ]\n- người dễ bị thuyết phục
software [01/'sɔftweə/]	[01* dtừ]\n- phần mềm (của máy tính) 
softwood [01/'sɔftwud/]	[01* dtừ]\n- gỗ mềm\n- cây có gỗ mềm
softwooded [01/'sɔftwudid/]	[01* ttừ]\n- bằng gỗ mềm
softy [01/'sɔfti/]	[01* dtừ]\n- (tục) người nhu nhược, người ẻo lả
sogdian [01/'sɔgdiən/]	[01* dtừ & ttừ]\n- người xứ Xôcđiana ở Trung á\n- tiếng Xôcđiana (thuộc dòng Iran) 
soggily [01/'sɔgili/]	[01* phtừ]\n- rất ướt; đẫm nước, sũng nước\n- ẩm ướt và nặng nề khó chịu
sogginess [01/'sɔginis/]	[01* dtừ]\n- sự đẫm nước, sự sũng nước; sự ẩm ướt\n- sự ỉu, sự mềm (bánh mì) 
soggy [01/'sɔgi/]	[01* ttừ]\n- đẫm nước, sũng nước; ẩm
soh [01/sou/]	[01* dtừ]\n- (âm nhạc) Xon (nốt)((cũng) [03sol] ) 
soho	[01* dtừ]\n- một khu ở trung tâm London, Anh quốc\n- một khu ở vùng ven tây Manhattan: các phòng trưng bày nghệ thuật và studio\n[01* dtừ]\n- (vt của [03Small Office/Home Office] ) 
soi-disant [01/'sɔi'disənt/]	[01* ttừ]\n- tự nhận, tự xưng, tự gọi là; gọi là
soigné [01/'swɑ:njei/]	[01* ttừ, dtừ giống cái] [03soignée]\n- diêm dúa
soignée [01/'swɑ:njei/]	[01* dtừ]\n- giống cái của soigné
soil [01/sɔil/]	[01* dtừ]\n- đất\n[02= alluvial soil] đất phù sa, đất bồi\n[02= one's native soil] nơi quê cha đất tổ\n- vết bẩn, vết nhơ\n- sự làm nhơ bẩn\n- rác rưởi\n[01* ngđtừ]\n- làm bẩn, làm dơ, vấy bẩn\n[02= I would not soil my hands with it] (bóng) tôi không muốn nhúng vào việc đó cho bẩn tay\n[01* nđtừ]\n- dễ bẩn\n[02= this stuff soils easily] vải len này dễ bẩn\n[01* ngđtừ]\n- cho (súc vật) ăn cỏ tươi
soil conservation [01/'sɔil,kənsə':vei∫n/]	[01* dtừ]\n- sự bảo vệ đất (để trồng trọt tốt) 
soil science [01/'sɔil,sains/]	[01* dtừ]\n- sự nghiên cứu khoa học về đất
soilage [01/'sɔilidʒ/]	[01* dtừ]\n- cỏ tươi (làm thức ăn cho vật nuôi) 
soilborne [01/'sɔilbɔ:n/]	[01* ttừ]\n- chứa ở trong đất
soiless [01/'sɔilis/]	[01* ttừ]\n- sạch, không có vết bẩn
soiling [01/'sɔftiη/]	[01* dtừ]\n- sự vấy bẩn; làm bẩn
soilless [01/'sɔilis/]	như [03soiless]
soil-pipe [01/'sɔilpaip/]	[01* dtừ]\n- ống dẫn nước phân (trong hố tiêu) 
soilure [01/'sɔilə/]	[01* dtừ]\n- vết nhơ
soirée [01/'swɑ:rei/]	[01* dtừ]\n- buổi dạ hội
soja [01/'soudʒə/]	như [03soya-bean]
sojourn [01/'sɔdʒən/]	[01* dtừ]\n- sự ở lại ít lâu, sự ở lại ít bữa\n[01* nđtừ]\n- ở lại ít lâu, ở lại ít bữa
sojourner [01/'sɔdʒə:nə/]	[01* dtừ]\n- người lưu lại, người tạm trú
soke [01/souk/]	[01* dtừ]\n- quyền tài phán\n- địa hạt tài phán (chịu một quyền tài phán đặc biệt) 
sokeman [01/'soukmən/]	[01* dtừ]\n- người dưới quyền xét xử của người khác
sol [01/sɔl/]	[01* dtừ]\n-(đùa) mặt trời\n- (âm nhạc) xon (nốt)((cũng) [03soh] )\n- (hoá) xon\n- đồng xon (tiền Pê-ru) 
sola [01/'soulə/]	[01* dtừ & số nhiều]\n- của solum
solace [01/'sɔlis/]	[01* dtừ]\n- sự an ủi, sự uý lạo; niềm khuây khoả\n[02= to find solace in something] tìm niềm an ủi trong cái gì\n- lời an ủi\n[01* ngđtừ]\n- an ủi, uý lạo, làm khuây khoả
solan [01/'soulən/]	như [03gannet]
solanaceous [01/,sɔlə'nei∫əs/]	[01* ttừ]\n- (thực vật)(thuộc) họ cà
solanceous [01/,sɔlə'nei∫əs/]	như [03solanaceous]
