describe [01/dis'kraib/]	[01* ngđtừ]\n- tả, diễn tả, mô tả, miêu tả\n- vạch, vẽ\n[02= to describe a circle with a pair of compasses] vạch một vòng tròn bằng com-pa\n- cho là, coi là; định rõ tính chất\n[02= he described hinself as a doctor] nó tự xưng là bác sĩ
describer [01/dis'kraibə/]	[01* dtừ]\n- người tả, người mô tả, người miêu tả
descrier	- xem [03descry] 
description [01/dis'krip∫n/]	[01* dtừ]\n- sự tả, sự diễn tả, sự mô tả, sự miêu tả\n[02= beyond description] không thể tả được\n- diện mạo, tướng mạo, hình dạng\n- sự vạch, sự vẽ (hình)\n- (tục) hạng, loại\n[02= books of every description] sách đủ các loại\n[02= a person of such description] người thuộc hạng như thế ấy\n- nghề nghiệp, công tác (ở hộ chiếu, giấy chứng minh...) 
descriptive [01/dis'kriptiv/]	[01* ttừ]\n- diễn tả, mô tả, miêu tả\n[02= a descriptive writing] bài văn miêu tả\n- (toán) hoạ pháp\n[02= descriptive geometry] hình học hoạ pháp
descriptively [01/di'skriptivli/]	[01* phtừ]\n- sinh động, sống động
descriptiveness [01/di'skriptivnis/]	[01* dtừ]\n- tính cách sinh động, tính cách sống động
descriptor [01/dis'kriptə/]	[01* dtừ]\n- ký hiệu (từ, ngữ) để nhận diện hay miêu tả
descry [01/dis'krai/]	[01* ngđtừ]\n- nhận ra, nhìn thấy, phát hiện thấy\n[02= to descry a small hut a long way off among big trees] phát hiện thấy một túp lều nhỏ ở đằng xa giữa những cây to
desecrate [01/'desikreit/]	[01* ngđtừ]\n- làm mất tính thiêng liêng\n- dùng (nơi thiêng liêng, thánh vật) vào việc phàm tục; mạo phạm (thánh vật), báng bổ (thần thánh)\n- dâng (một nơi linh thiêng...) cho tà ma quỷ dữ
desecrater	- xem [03desecrate] 
desecration [01/,desi'krei∫n/]	[01* dtừ]\n- sự mạo phạm (thánh vật), sự báng bổ (thần thánh), sự xúc phạm (thần thánh)\n- sự dâng cho tà ma quỷ dữ
desecrator [01/'desikreitə/]	[01* dtừ]\n- kẻ mạo phạm (thánh vật), kẻ báng bổ (thần thánh), kẻ xúc phạm (thần thánh)\n- kẻ dâng cho tà ma quỷ dữ
desegmentation [01/di:segmən'tei∫n/]	[01* dtừ]\n- sự liền đốt, sự mất phân đốt
desegregate [01/di:'segrigeit/]	[01* đtừ]\n- (Mỹ) xoá bỏ sự phân biệt chủng tộc (ở trường học...) 
desegregation [01/di:,segri'gei∫n/]	[01* dtừ]\n- sự xoá bỏ nạn phân biệt chủng tộc trong nhà trường
desegregationist	- xem [03desegregate] 
deselect [01/di:si'lekt/]	[01* đtừ]\n- loại bỏ một ứng cử viên, vì người ấy đang có chân trong quốc hội
deselection [01/,di:si'lek∫n/]	[01* dtừ]\n- sự loại bỏ một ứng cử viên, vì người ấy đang có chân trong quốc hội
desensitisation [01/di:,sensitai'zei∫n/]	[01* dtừ]\n- sự gây tê
desensitise [01/di:'sensitaiz/]	như [03desensitize]
desensitization [01/di:,sensitai'zei∫n/]	như [03desensitisation]
desensitize [01/di:'sensitaiz/]	[01* ngđtừ]\n- khử nhạy, làm bớt nhạy
desensitizer [01/di:'sensitaizə/]	[01* dtừ]\n- chất khử nhạy, chất làm bớt nhạy
desensitizing [01/'di:'sensitaiziɳ/]	[01* dtừ]\n- sự khử nhạy, sự làm bớt nhạy
