swallow [01/'swɔlou/]	[01* dtừ]\n- (động vật) chim nhạn\n[04! one swallow does not make a summer]\n- một con nhan không làm nên mùa xuân\n[01* dtừ]\n- sự nuốt\n- miếng, ngụm\n- cổ họng\n[01* ngđtừ]\n- nuốt (thức ăn)\n- nuốt, chịu đựng\n[02= to swallow one's anger] nuốt giận\n[02= to swallow an affront] chịu nhục\n- nuốt, rút (lời)\n[02= to swallow one's words] nuốt lời\n- cả tin, tin ngay\n[02= to swallow will anything you tell him] anh nói gì hắn cũng tin\n[04! the expenses more than swallow up the earnings]\n- thu chẳng đủ chi
swallow-dive [01/'swɔlou'daiv/]	như [03swan-dive]
swallow-hole [01/'swɔ:lou,houl/]	[01* dtừ]\n- hố vực
swallow-tail [01/'swɔlou'teil/]	[01* dtừ]\n- đuôi chẻ đôi (như đuôi chim nhạn)\n- bướm đuôi nhạn\n- áo đuôi tôm ((cũng) [03swallow-tailed coat] ) 
swallow-tailed coat [01/'swɔlou,teilid'cout/]	như [03tail-coat]
swallow-wort [01/'swɔlou'wə:t/]	[01* dtừ]\n- (thực vật) cây thổ hoàng liên\n- cây bông tai (họ thiên lý) 
swam [01/swæm/]	- xem [03swim] 
swami [01/swɑ:mi/]	[01* dtừ]\n- tượng thờ (Ân độ)\n- người được tôn thờ\n- thầy giảng đạo (Ân độ) 
swamies	- xem [03swami] 
swamis	như [03swamies]
swamp [01/swɔmp/]	[01* dtừ]\n- đầm lầy\n[01* ngđtừ]\n- làm ngập, làm ướt đẫm\n- tràn ngập, che khuất; làm mất tác dụng\n- (động tính từ quá khứ) bị ngập vào, bị búi vào\n[02= to be swamped with work] bị búi vào công việc\n[01* nđtừ]\n- bị ngập, bị sa lầy\n- bị tràn ngập, bị che khuất; bị làm mất tác dụng
swamp fever [01/'swɔmp'fi:və/]	[01* dtừ]\n- bệnh sốt rét
swamp-eel [01/'swɔmp,i:l/]	[01* dtừ]\n- con lươn
swamper [01/'swɔmpə/]	[01* dtừ]\n- (Mỹ) người tháo nước đầm cho khô\n- (Mỹ) người ở nơi đầm lầy\n- (Mỹ) người làm đường ở đầm lầy
swamp-fever [01/'swɔmp,fi:və/]	[01* dtừ]\n- (y) bệnh sốt rét
swampland [01/'swɔmp,lænd/]	[01* dtừ]\n- đầm lầy; bãi lầy
swampy [01/'swɔmpi/]	[01* ttừ]\n- lầy, như đầm lầy\n- có đầm lầy
swan [01/swɔn/]	[01* dtừ]\n- (động vật) con thiên nga\n- nhà thơ thiên tài; ca sĩ thiên tài\n- (thiên văn) chòm sao Thiên nga\n[04! all his geese are swans]\n- cái gì của nó cũng là vàng cả\n[04! the Swan of Avon]\n- Sếch-xpia
swan maiden [01/'swɔn'meidn/]	[01* dtừ]\n- (thần thoại) nàng tiên thiên nga
swan mark [01/'swɔnma:k/]	[01* dtừ]\n- dấu ở mỏ thiên nga (chỉ quyền sở hữu) 
swan neck [01/'swɔn,nek/]	[01* dtừ]\n- hình cổ ngỗng; hình chữ S
swan song [01/'swɔn'sɔη/]	[01* dtừ]\n- tiếng hót vĩnh biệt (của chim thiên nga sắp chết)\n- tác phẩm cuối cùng (của một nhà văn...) 
swan-dive [01/'swən'daiv/]	[01* dtừ]\n- sự nhào kiểu chim nhạn (nhào) xuống nước, hai tay duỗi thẳng cho lúc đến gần mặt nước) 
