Man of Sorrows [01/'mænəv'sɔrouz/]	[01* dtừ]\n- Giêxu
manservant [01/'mæn,sə:vənt/]	như [03serving-man]
-manship [01/-mən∫ip/]	- hình thái ghép có nghĩa tài nghệ
mansion [01/'mæn∫n/]	[01* dtừ]\n- lâu đài\n- (số nhiều) khu nhà lớn
mansion house [01/'mæn∫n haus/]	[01* dtừ]\n- nhà của thị trưởng Luần-đôn
mansion-house [01/'mænʃnhaus/]	[01* dtừ]\n- the mansion-house nhà thị trưởng Luân-ddôn
man-sized [01/'mænsaizd/]	[01* ttừ]\n- (Mỹ),(tục) vừa cho một người, hợp với một người\n- to lớn
manslaughter [01/'mæn,slɔ:tə/]	[01* dtừ]\n- tội giết người\n- (pháp lý) tội ngộ sát
manslayer [01/'mæn,sleiə/]	như [03murderer]
manslaying [01/'mæn,sleiiη/]	[01* dtừ]\n- sự giết người
mansuetude [01/'mænswitjud/]	[01* dtừ]\n- sự ôn hoà; thái độ ôn hoà
manta [01/'mæntə/]	[01* dtừ]\n- (động vật) cá đuối\n- áo choàng không tay của nữ
manta-ray [01/'mæntə,rei/]	[01* dtừ]\n- (động vật) cá đuối
mantel [01/'mæntl/]	[01* dtừ]\n- mặt lò sưởi
mantelet [01/'mæntəlit/]	như [03mantlet]
mantelletta [01/'mæntəlitə/]	[01* dtừ]\n- áo choàng ngắn không tay của giáo sĩ
mantelpiece [01/'mæntlpi:s/]	như [03mantel]
mantel-shelf [01/'mæntl∫elf/]	[01* dtừ]\n- giá trên lò sưởi
mantes [01/'mænti:z/]	[01* dtừ, s/n [03mantis] /'mæntis/\n- (động vật) con bọ ngựa
mantic [01/'mæntik/]	[01* ttừ]\n- có tính cách tiên tri
mantid [01/'mæntid/]	như [03praying mantis]
mantilla [01/mæn'tilə/]	[01* dtừ]\n- khăn vuông, khăn choàng (của phụ nữ Y và Tây-ban-nha)\n- áo khoác ngắn
mantis [01/'mæntis/]	như [03mantes]
mantissa [01/mæn'tisə/]	[01* dtừ]\n- (toán) phần định trị (logarit) 
