conspiracy [01/kən'spirəsi/]	[01* dtừ]\n- âm mưu\n[02= to be in the conspiracy] tham gia cuộc âm mưu\n[04! conspiracy of silence]\n- sự thông đồng, ỉm đi, sự rủ nhau ỉm đi (không nói đến chuyện gì) 
conspirant [01/kən'spirənt/]	[01* dtừ]\n- người đồng mưu
conspirator [01/kən'spirətə/]	[01* dtừ]\n- người âm mưu
conspiratorial [01/kən,spirə'tɔri:əl/]	[01* ttừ]\n- bí ẩn
conspiratorially	- xem [03conspiratorial] 
conspiratress [01/kən'spirətris/]	[01* dtừ]\n- người đàn bà âm mưu
conspire [01/kən'spaiə/]	[01* đtừ]\n- âm mưu, mưu hại\n[02= to conspire to do something] âm mưu làm gì\n[02= they have conspired his ruin] họ đã âm mưu hại ông ta\n- chung sức, hiệp lực, quy tụ lại, kết hợp lại, hùn vào\n[02= everything seemed to conspire to make him angry] tất cả dường như hùn vào để làm cho nó nổi giận
conspirer	- xem [03conspire] 
conspiringly	như [03conspirer]
conspue [01/kən'spju:/]	[01* ngđtừ]\n- (hiếm) làm nhục, lăng mạ, sỉ nhục giữa đám đông, bêu riếu phỉ nhổ\n- phản đối (ai), đòi huỷ bỏ (một biện pháp...) 
constable [01/'kʌnstəbl/]	[01* dtừ]\n- cảnh sát, công an\n[02= Chief Constable] cảnh sát trưởng\n[02= special constable] cảnh sát tình nguyện (trong những dịp đặc biệt)\n- (sử học) nguyên soái; đốc quân, đốc hiệu\n[04! to outrun the constable]\n- mang công mắc nợ
constableship	- xem [03constable] 
constabulary [01/kən'stæbjuləri/]	[01* ttừ]\n- (thuộc) cảnh sát, (thuộc) công an\n[01* dtừ]\n- sở cảnh sát, sở công an
constancy [01/'kɔnstənsi/]	[01* dtừ]\n- sự bền lòng, tính kiên trì\n- tính kiên định, tính trung kiên; sự trung thành, sự chung thuỷ\n- sự bất biến, sự không thay đổi
constant [01/'kɔnstənt/]	[01* ttừ]\n- bền lòng, kiên trì\n- kiên định, trung kiên; trung thành, chung thuỷ\n[02= to remain constant to one's principles] trung thành với nguyên tắc của mình\n- không ngớt, không dứt, liên miên, liên tiếp\n[02= constant rain] mưa liên miên\n[02= constant chatter] sự nói không dứt, sự nói liên miên\n- bất biến, không thay đổi
constant address	- (kỹ) địa chỉ hằng số (gốc) 
constantan	- (kỹ) hợp kim kền-đồng, côngtantan
constantly [01/'kɔnstəntli/]	[01* dtừ]\n- (toán) ; (lý) hằng số\n[02= atomic constantly] hằng số nguyên tử\n[02= constantly of friction] hằng số ma sát\n[01* phtừ]\n- luôn luôn, liên miên
constellate [01/'kɔnstəleit/]	[01* đtừ]\n- họp thành chòm sao
constellation [01/,kɔnstə'lei∫n/]	[01* dtừ]\n- chòm sao
constellational	- xem [03constellation] 
constellatory	như [03constellational]
consternate [01/'kɔnstə:neit/]	[01* ngđtừ (thường) dạng bị động]\n- làm kinh hoàng, làm kinh ngạc, làm thất kinh, làm khiếp đảm, làm sửng sốt, làm rụng rời
consternated [01/'kɔnstə:neitid/]	[01* ttừ]\n- kinh hoàng, kinh ngạc, thất kinh, khiếp đảm, sửng sốt, rụng rời
consternation [01/,kɔnstə:'nei∫n/]	[01* dtừ]\n- sự kinh hoàng, sự kinh ngạc, sự thất kinh, sự khiếp đảm, sự sửng sốt, sự rụng rời\n[02= to strike someone with consternation; to cause great consternation to someone] làm cho ai thất kinh khiếp đảm
