digitoxin [01/'didʒi'tɔksin/]	[01* dtừ]\n- (hoá) đigitalin
diglot [01/'daiglɔt/]	[01* ttừ]\n- song ngữ
dignification [01/dignifi'kei∫n/]	[01* dtừ]\n- xem [03dignify] 
dignified [01/'dignifaid/]	[01* ttừ]\n- đáng, xứng, xứng đáng\n- có giá trị, có phẩm cách, đáng tôn quý\n- đường hoàng; trang nghiêm
dignify [01/'dignifai/]	[01* ngđtừ]\n- làm cho xứng, làm cho xứng đáng\n- làm cho có vẻ đường hoàng; làm cho có vẻ trang nghiêm\n- tôn, tôn lên, đề cao
dignitary [01/'dignitəri/]	[01* dtừ]\n- người quyền cao, chức trọng\n- chức sắc (nhà thờ) ; trùm họ (họ đạo) 
dignity [01/'digniti/]	[01* dtừ]\n- chân giá trị\n[02= the dignity of labour] chân giá trị của lao động\n- phẩm giá, phẩm cách; lòng tự trọng\n[02= human dignity] nhân phẩm\n[02= beneath one's dignity] không xứng đáng với phẩm cách của mình\n[02= to stand upon one's dignity] tự trọng, giữ phẩm giá của mình\n- chức tước cao, chức vị cao\n- thái độ chững chạc, thái độ đường hoàng; vẻ nghiêm trang
dignity ball [01/'digniti'bɔ:l/]	[01* dtừ]\n- buổi nhảy công cộng (của người da đen) 
digraph [01/'daigrɑ:f/]	[01* dtừ]\n- chữ ghép (đọc thành một âm như ch, ea...) 
digraphic [01/dai'græfik/]	[01* ttừ]\n- thuộc chữ cái đôi
digress [01/dai'gres/]	[01* nđtừ]\n- lạc đề, ra ngoài đề (nói, viết)\n- lạc đường, lạc lối
digression [01/dai'gre∫n/]	[01* dtừ]\n- sự lạc đề, sự ra ngoài đề (nói, viết)\n- sự lạc đường\n- (thiên văn) độ thiên sai, khoảng cách mặt trời (của các hành tinh) 
digressional [01/dai'gre∫nəl/]	[01* ttừ]\n- xem [03digress] 
digressive [01/dai'gresiv/]	[01* ttừ]\n- lạc đề, ra ngoài đề
