scream [01/skri:m/]	[01* dtừ]\n- tiếng thét, tiếng hét, tiếng kêu thất thanh; tiếng kêu inh ỏi\n- tiếng cười phá lên ((thường) screams of laughter)\n- (lóng) chuyện tức cười; người làm tức cười\n[01* đtừ]\n- kêu thét lên, hét lên, kêu thất thanh; kêu inh ỏi, rít lên (còi tàu...)\n- cười phá lên ((thường) to scream with laughter) 
screamer [01/'skri:mə/]	[01* dtừ]\n- người hay kêu thét\n- (động vật) chim én\n- (lóng) chuyện tức cười, người làm tức cười\n- cái đẹp lạ thường, cái tuyệt diệu\n- (Mỹ),(lóng) đầu đề giật gân (trên báo)\n- (ngành in),(lóng) dấu chấm than
screaming [01/'skri:miη/]	[01* ttừ]\n- la lên, thét lên, thất thanh\n- tức cười, làm cười phá lên\n[02= a screaming farce] trò hề làm mọi người cười phá lên
screamingly [01/'skri:miηli/]	[01* phtừ]\n- đủ để gây tiếng cười
scree [01/skri:/]	[01* dtừ]\n- hòn đá nhỏ (nằm trên sườn núi)\n- sườn núi đầy đá nhỏ
screech [01/skri:t∫/]	[01* dtừ]\n- tiếng kêu thất thanh, tiếng thét, tiếng rít\n[01* đtừ]\n- kêu thét lên, rít lên
screech-owl [01/skri:t∫'aul/]	[01* dtừ]\n- (động vật) cú mèo\n- (bóng) điềm gở
screechy [01/'skri:t∫i/]	[01* ttừ]\n- thất thanh, thét lên, rít lên
screed [01/skri:d/]	[01* dtừ]\n- bài diễn văn kể lể; bức thư kể lể\n- đường vạch lên tường (làm chuẩn để trát vữa) 
screen [01/skri:n/]	[01* dtừ]\n- bình phong, màn che\n[02= a screen of trees] màn cây\n[02= under the screen of night] dưới màn che của bóng tối\n- (lý) màn, tấm chắn\n[02= electric screen] màn điện\n[02= shadow screen] màn chắn sáng\n- bảng, thông báo (có lưới sắt mắt cáo...)\n- màn ảnh, màn bạc\n[02= panoramic screen] màn ảnh rộng\n[02= the screen] phim ảnh (nói chung)\n- cái sàng (để sàng than...)\n[04! to act as screen for a criminal]\n- che chở một người phạm tội\n[04! to put on a screen of indifference]\n- làm ra bộ thờ ơ, làm ra vẻ thờ ơ\n[01* ngđtừ]\n- che chở, che giấu\n- (lý) chắn, che; (Mỹ) chuyển một cuốn tiểu thuyết, một vở kịch) thành bản phim\n- giần, sàng, lọc (than...)\n- (bóng) nghiên cứu và thẩm tra lý lịch (người)\n[01* nđtừ]\n- được chiếu (phim) 
screen test [01/'skri:n'test/]	[01* ngđtừ]\n- đónh thử (vai trong một bộ phim) 
screened [01/'skri:nd/]	[01* ttừ]\n- được chắn; được che; được sàng
screen-fire [01/'skri:n'faiə/]	[01* dtừ]\n- (qsự) sự bắn yểm hộ
screening	[01* dtừ]\n- sự chiếu một bộ phim (một chương trình) 
screenings [01/'skri:niηz/]	[01* dtừ s/n]\n- tạp vật còn lại; sau khi sàng (than...) 
screenplay [01/'skri:nplei/]	[01* dtừ]\n- kịch bản phim
screen-print [01/'scri:nprint/]	[01* đtừ]\n- in bằng kỹ thuật in lụa
screen-printing [01/'scri:nprintiη/]	[01* dtừ]\n- kỹ thuật in lụa
screen-test [01/'skri:n,test/]	[01* dtừ]\n- đoạn phim quay để kiểm tra khả năng đóng phim của diễn viên\n[01* ngđtừ]\n- quay một đoạn phim để kiểm tra khả năng đóng phim của diễn viên
screenwriter [01/'skri:n,raitə/]	[01* dtừ]\n- người viết kịch bản phim
screeve [01/skri:v/]	[01* nđtừ]\n- (lóng) là hoạ sĩ vỉa hè
screever [01/'skri:və/]	[01* dtừ]\n- (lóng) hoạ sĩ vỉa hè
screw [01/skru:/]	[01* dtừ]\n- ngựa ốm, ngựa hom hem kiệt sức\n[01* dtừ]\n- đinh vít, đinh ốc\n- chân vịt (tàu thuỷ), cánh quạt (máy bay)((cũng) [03screw propeller] ) ; tàu có chân vịt ((cũng) [03screw steamer] )\n- sự siết con vít\n[02= give it another screw] siết thêm một ít nữa\n- người bủn xỉn, người keo cú; người bòn rút\n- (lóng) tiền lương\n- gói nhỏ (thuốc lá, chè...)\n- (Mỹ),(lóng) cai ngục\n[04! to have a screw loose]\n- gàn dở\n[02= there is a screw loose] có cái gì không ổn\n[04! to put the screw on]\n- gây sức ép\n[01* đtừ]\n- bắt vít, bắt vào bằng vít; vít chặt cửa\n[02= to screw someone up] vít chặt cửa không cho ai ra\n- siết vít, vặn vít, ky cóp\n- (+[04 out of]) bòn rút, bóp nặn (tiền) ; ép cho được (sự đồng ý)\n[02= to screw the truth out of someone] bắt ép ai phải nói sự thật\n- cau (mặt), nheo (mắt), mím (môi)\n[02= to screw up one's eyes] nheo mắt\n[02= to screw up one's lips] mím môi\n- (lóng) lên dây cót\n- xoáy (vít)\n[02= to screw to the right] xoáy sang bên phải\n[04! to crew up one's courage]\n- xem [03courage] 
screw coupling [01/'kru:'kʌpliη/]	[01* dtừ]\n- (kỹ) khớp trục ren
screw press [01/'skru:'pres/]	[01* dtừ]\n- (kỹ) máy ép kiểu vít
screw valve [01/'skru:'vælv/]	[01* dtừ]\n- van ốc
screw-ball [01/'skrɑ:bɔ:l/]	[01* ttừ]\n- (Mỹ),(lóng) gàn, điên\n[01* dtừ]\n- (Mỹ),(lóng) người gàn, người điên\n- (thể thao) quả bóng xoáy (bóng chày) 
screwball [01/'skru:bɔ:l/]	[01* ttừ]\n- (Mỹ)(tục) gàn, lập dị, điên\n[01* dtừ]\n- (Mỹ)(tục) người gàn dở, người lập dị, người điên\n- <thể> quả bóng xoáy (bóng chày) 
screw-bolt [01/'skru:bɔlt/]	[01* dtừ]\n- bu-lông; vít
screw-cutter [01/'skru:'kʌtə/]	[01* dtừ]\n- (kỹ) máy cắt ren vít, máy tiện ren\n- bàn ren; đầu cắt ren ((cũng) [03screw-die] ) 
screw-die [01/'skru:'dai/]	[01* dtừ]\n- bàn ren; đầu cắt ren ((cũng) [03screw-cutter] ) 
screwdriver [01/'skru:,draivə/]	[01* dtừ]\n- chìa vít
