discourteous [01/dis'kə:tjəs/]	[01* ttừ]\n- bất lịch sự, thiếu lễ độ; thô lỗ, thô bạo
discourteously [01/dis'kə:tjəsli/]	[01* phtừ]\n- bất lịch sự, khiếm nhã
discourtesy [01/dis'kə:tisi/]	[01* dtừ]\n- sự bất lịch sự, sự thiếu lễ độ; sự thô lỗ, sự thô bạo
discover [01/dis'kʌvə/]	[01* ngđtừ]\n- khám phá ra, tìm ra, phát hiện ra, nhận ra\n- để lộ ra, bộc lộ ra, phơi bày ra
discoverable [01/dis'kʌvərəbl/]	[01* ttừ]\n- có thể khám phá ra, có thể tìm ra, có thể phát hiện ra; có thể nhận ra
discoverer [01/dis'kʌvərə/]	[01* dtừ]\n- người khám phá ra, người tìm ra, người phát hiện ra
discovert [01/dis'kʌvət/]	[01* ttừ]\n- (pháp lý) chưa lấy chồng; không có chồng, goá chồng
discovery [01/dis'kʌvəri/]	[01* dtừ]\n- sự khám phá ra, sự tìm ra, sự phát hiện ra\n- điều khám phá ra, điều tìm ra, điều phát hiện ra; phát minh\n- sự để lộ ra (bí mật...)\n- nút mở, nút gỡ (trong một vở kịch...) 
discredit [01/dis'kredit/]	[01* dtừ]\n- sự mang tai mang tiếng, sự mất uy tín, sự mất thể diện; điều làm mang tai mang tiếng, điều làm mất uy tín, điều làm mất thể diện\n[02= to bring into discredit] làm mang tai mang tiếng, làm mất uy tín\n- sự nghi ngờ, sự thiếu tin tưởng\n[02= to throw discredit upon something] nghi ngờ cái gì\n- (thương nghiệp) sự mất tín nhiệm\n[01* ngđtừ]\n- làm mang tai mang tiếng, làm mất uy tín, làm mất thể diện\n- không tin\n- làm mất tín nhiệm
discreditable [01/dis'kreditəbl/]	[01* ttừ]\n- làm mang tai mang tiếng, làm mất uy tín, làm mất thể diện\n- làm mất tín nhiệm\n- nhục nhã, xấu hổ
discreditably [01/dis'kreditəbli/]	[01* phtừ]\n- nhục nhã, tai tiếng
discreet [01/dis'kri:t/]	[01* ttừ]\n- thận trọng, dè dặt; kín đáo (trong cách ăn nói)\n- biết suy xét, khôn ngoan
discreetly [01/dis'kri:tli/]	[01* phtừ]\n- thận trọng, kín đáo, dè dặt
discrepancy [01/dis'krepənsi/]	[01* dtừ]\n- sự khác nhau, sự không nhất quán, sự không thống nhất, sự trái ngược nhau (của một câu chuyện...) 
discrepant [01/dis'krepənt/]	[01* ttừ]\n- khác nhau, không nhất quán, không thống nhất, trái ngược nhau\n[02= discrepant runmours] những lời đồn trái ngược nhau
discrete [01/dis'kri:t/]	[01* ttừ]\n- riêng biệt, riêng rẽ, rời rạc\n[02= discrete space] (toán) không gian rời rạc\n- (triết học) trừu tượng
discrete frequency	- (kỹ) tần số phân rời
discrete image	- (kỹ) hình phân rời
discrete sample	- (kỹ) mẫu phân rời
discrete signal	- (kỹ) tín hiệu phân rời
discrete source	- (kỹ) nguồn phân rời; nguồn ẩn
discretely [01/dis'kri:tli/]	[01* phtừ]\n- riêng rẽ, rời rạc
discreteness [01/dis'kri:tnis/]	[01* dtừ]\n- tính riêng biệt, tính riêng rẽ, tính rời rạc\n- (triết học) tính trừu tượng
discretion [01/dis'kre∫n/]	[01* dtừ]\n- sự tự do làm theo ý mình\n[02= at discretion] tuỳ ý, mặc ý, không điều kiện\n[02= to surrender at discretion] đầu hàng không điều kiện\n[02= at the discretion of...] theo ý muốn của...\n- sự thận trọng\n[02= to act with discretion] hành động thận trọng\n- sự suy xét khôn ngoan\n[02= years of discretion; age of discretion] tuổi khôn, tuổi biết suy nghĩ rồi (ở Anh 14 tuổi)\n[04! discrestion is the better part of valour]\n-(đùa) lúc lâm nguy đánh bài chuồn là thượng sách (chế những anh hèn) 
discretionary [01/dis'kre∫ənəri/]	[01* ttừ]\n- được tự do làm theo ý mình, tuỳ ý mình\n[02= powers] quyền được tự do làm theo ý mình
discriminant [01/dis'kriminənt/]	[01* dtừ]\n- (toán) biệt số; biệt chức
discriminate [01/dis'krimineit/]	[01* ngđtừ]\n- (+[04 from]) phân biệt\n[02= to discriminate one thing from another] phân biệt cái này với cái khác\n[01* nđtừ]\n- (+[04 between]) phân biệt nhận rõ sự khác nhau (giữa hai vật, giữa cái này với cái khác...), tách bạch ra\n- đối xử phân biệt\n[02= to discriminate agianst somebody] đối xử phân biệt với ai\n[02= to discriminate in favour of somebody] biệt đãi thiên vị ai\n[01* ttừ]\n- rõ ràng, tách bạch\n- biết phân biệt, biết phán đoán, biết suy xét, sáng suốt
discriminating [01/dis'krimineitiη/]	[01* ttừ]\n- biết phân biệt, có óc phán đoán, biết suy xét, sáng suốt\n- sai biệt\n[02= discriminating duty (rate)] thuế sai biệt
discrimination [01/dis,krimi'nei∫n/]	[01* dtừ]\n- sự phân biệt, sự nhận rõ điều khác nhau, sự tách bạch ra\n- sự biết phân biệt, sự sáng suốt, óc phán đoán, óc suy xét\n- sự đối xử phân biệt
discriminative [01/dis'kriminətiv/]	[01* ttừ]\n- rõ ràng, tách bạch\n- biết phân biệt, có óc phán đoán, biết suy xét, sáng suốt
discriminator	- (kỹ) bộ phân biệt; bộ tách sóng
discriminator(tin)	- thiết bị so sánh, máy phân biệt (các xung)\n- pulse height d. (tin) máy phân biệt biên độ xung\n- pulse with d. (tin) máy phân biệt bề rộng xung\n- trigger d. (tin) máy phân biệt xung khởi động
discriminatory [01/dis'kriminətəri/]	[01* ttừ]\n- phân biệt, biết phân biệt, có óc phán đoán, biết suy xét, sáng suốt
discrown [01/dis'kraun/]	[01* ngđtừ]\n- truất ngôi
disculpate [01/dis'kʌlpeit/]	[01* ngđtừ]\n- gỡ tội cho
discursion [01/dis'kə:∫n/]	[01* dtừ]\n- sự biện luận; sự suy luận\n- việc nói tản mạn
discursive [01/dis'kə:siv/]	[01* ttừ]\n- lan man, không có mạch lạc\n- biện luận
discursively [01/dis'kə:sivli/]	[01* phtừ]\n- rời rạc, lan man
discursiveness [01/dis'kə:sivnis/]	[01* dtừ]\n- tính lan man, tính không mạch lạc\n- sự biện luận
discus [01/'diskəs/]	như [03disci]
discuss [01/dis'kʌs/]	[01* ngđtừ]\n- thảo luận, bàn cãi, tranh luận (một vấn đề gì) ; nói đến (ai)\n- ăn uống ngon lành thích thú (món ăn, rượu) 
